class,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,total,superkingdom,kingdom,phylum,tax
Thermoplasmata,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,12,0,0,0,43,Archaea,Archaea_none,Candidatus Thermoplasmatota,Archaea;Archaea_none;Candidatus Thermoplasmatota;Thermoplasmata
Methanomicrobia,0,0,100,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,43,0,5419,67,6126,Archaea,Archaea_none,Euryarchaeota,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia
Holophagae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,Bacteria,Bacteria_none,Acidobacteriota,Bacteria;Bacteria_none;Acidobacteriota;Holophagae
Terriglobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,Bacteria,Bacteria_none,Acidobacteriota,Bacteria;Bacteria_none;Acidobacteriota;Terriglobia
Actinomycetes,0,838,0,0,0,24,246,1151,0,0,73,0,0,0,0,0,0,0,262,0,0,0,1350,0,3944,Bacteria,Bacteria_none,Actinomycetota,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes
Coriobacteriia,0,0,0,0,0,0,0,374,0,26,91,0,0,0,0,0,0,0,23,0,0,0,178,0,692,Bacteria,Bacteria_none,Actinomycetota,Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia
Thermoleophilia,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Bacteria,Bacteria_none,Actinomycetota,Bacteria;Bacteria_none;Actinomycetota;Thermoleophilia
Bacilli,0,935,65,361,88,0,7493,2928,583,119,1256,0,221,0,76,0,0,2275,0,0,115,0,1238,873,18626,Bacteria,Bacteria_none,Bacillota,Bacteria;Bacteria_none;Bacillota;Bacilli
Clostridia,65,329,437,300,0,26,409,3960,0,756,2266,0,24,0,0,0,0,5377,3170,0,706,0,5659,0,23484,Bacteria,Bacteria_none,Bacillota,Bacteria;Bacteria_none;Bacillota;Clostridia
Erysipelotrichia,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,Bacteria,Bacteria_none,Bacillota,Bacteria;Bacteria_none;Bacillota;Erysipelotrichia
Negativicutes,0,323,60,0,0,0,250,0,48,94,975,0,155,0,0,0,0,35,126,0,20,0,36,41,2163,Bacteria,Bacteria_none,Bacillota,Bacteria;Bacteria_none;Bacillota;Negativicutes
Tissierellia,0,13,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,133,0,258,Bacteria,Bacteria_none,Bacillota,Bacteria;Bacteria_none;Bacillota;Tissierellia
Bacteroidia,186,12203,179,411,2632,45,33149,10204,1182,1437,4499,0,1005,0,0,0,0,8495,148,0,990,0,2390,1298,80453,Bacteria,Bacteria_none,Bacteroidota,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia
Cytophagia,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,Bacteria,Bacteria_none,Bacteroidota,Bacteria;Bacteria_none;Bacteroidota;Cytophagia
Flavobacteriia,0,760,0,0,0,0,206,118,0,0,0,0,0,0,0,0,0,0,19,0,0,0,130,0,1233,Bacteria,Bacteria_none,Bacteroidota,Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia
Saprospiria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,Bacteria,Bacteria_none,Bacteroidota,Bacteria;Bacteria_none;Bacteroidota;Saprospiria
Sphingobacteriia,0,533,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,606,Bacteria,Bacteria_none,Bacteroidota,Bacteria;Bacteria_none;Bacteroidota;Sphingobacteriia
Epsilonproteobacteria,0,181,23,115,0,0,36,273,80,0,86,0,12,0,0,0,0,293,0,0,0,0,1401,53,2553,Bacteria,Bacteria_none,Campylobacterota,Bacteria;Bacteria_none;Campylobacterota;Epsilonproteobacteria
Candidatus Cloacimonadia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,Bacteria,Bacteria_none,Candidatus Cloacimonadota,Bacteria;Bacteria_none;Candidatus Cloacimonadota;Candidatus Cloacimonadia
Chlamydiia,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,Bacteria,Bacteria_none,Chlamydiota,Bacteria;Bacteria_none;Chlamydiota;Chlamydiia
Chlorobiia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,Bacteria,Bacteria_none,Chlorobiota,Bacteria;Bacteria_none;Chlorobiota;Chlorobiia
Dehalococcoidia,0,0,0,169,0,0,0,0,0,0,161,0,0,0,0,0,0,0,92,0,24,0,129,0,575,Bacteria,Bacteria_none,Chloroflexota,Bacteria;Bacteria_none;Chloroflexota;Dehalococcoidia
Cyanophyceae,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,55,16,85,Bacteria,Bacteria_none,Cyanobacteriota,Bacteria;Bacteria_none;Cyanobacteriota;Cyanophyceae
Deferribacteres,0,0,0,0,0,0,28,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,Bacteria,Bacteria_none,Deferribacterota,Bacteria;Bacteria_none;Deferribacterota;Deferribacteres
Deinococci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,Bacteria,Bacteria_none,Deinococcota,Bacteria;Bacteria_none;Deinococcota;Deinococci
Dictyoglomia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,11,0,35,Bacteria,Bacteria_none,Dictyoglomota,Bacteria;Bacteria_none;Dictyoglomota;Dictyoglomia
Fusobacteriia,0,0,410,0,614,0,1003,171,142,0,294,0,4786,0,101,0,0,0,0,0,0,0,0,683,8204,Bacteria,Bacteria_none,Fusobacteriota,Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia
Kiritimatiellia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,56,Bacteria,Bacteria_none,Kiritimatiellota,Bacteria;Bacteria_none;Kiritimatiellota;Kiritimatiellia
Tichowtungiia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,Bacteria,Bacteria_none,Kiritimatiellota,Bacteria;Bacteria_none;Kiritimatiellota;Tichowtungiia
Mollicutes,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,129,Bacteria,Bacteria_none,Mycoplasmatota,Bacteria;Bacteria_none;Mycoplasmatota;Mollicutes
Myxococcia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,179,Bacteria,Bacteria_none,Myxococcota,Bacteria;Bacteria_none;Myxococcota;Myxococcia
Myxococcota_Incertae_sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,Bacteria,Bacteria_none,Myxococcota,Bacteria;Bacteria_none;Myxococcota;Myxococcota_Incertae_sedis
Phycisphaerae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,Bacteria,Bacteria_none,Planctomycetota,Bacteria;Bacteria_none;Planctomycetota;Phycisphaerae
Planctomycetia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,58,Bacteria,Bacteria_none,Planctomycetota,Bacteria;Bacteria_none;Planctomycetota;Planctomycetia
