order,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,total,superkingdom,kingdom,phylum,class,tax
Methanomassiliicoccales,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,12,0,0,0,43,Archaea,Archaea_none,Candidatus Thermoplasmatota,Thermoplasmata,Archaea;Archaea_none;Candidatus Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales
Methanomicrobiales,0,0,100,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,43,0,5143,67,5850,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales
Methanosarcinales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,276,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanosarcinales
Holophagales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,Bacteria,Bacteria_none,Acidobacteriota,Holophagae,Bacteria;Bacteria_none;Acidobacteriota;Holophagae;Holophagales
Terriglobales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,Bacteria,Bacteria_none,Acidobacteriota,Terriglobia,Bacteria;Bacteria_none;Acidobacteriota;Terriglobia;Terriglobales
Actinomycetales,0,32,0,0,0,24,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,912,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Actinomycetales
Bifidobacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,61,0,127,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales
Kitasatosporales,0,0,0,0,0,0,72,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,855,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Kitasatosporales
Micrococcales,0,32,0,0,0,0,0,34,0,0,73,0,0,0,0,0,0,0,23,0,0,0,282,0,444,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Micrococcales
Micromonosporales,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,415,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Micromonosporales
Mycobacteriales,0,396,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,378,0,1121,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Mycobacteriales
Propionibacteriales,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Propionibacteriales
