order,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,total,superkingdom,kingdom,phylum,class,tax
Methanomassiliicoccales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,Archaea_none,Candidatus Thermoplasmatota,Thermoplasmata,Archaea;Archaea_none;Candidatus Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales
Methanomicrobiales,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales
Methanosarcinales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanosarcinales
Holophagales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Acidobacteriota,Holophagae,Bacteria;Bacteria_none;Acidobacteriota;Holophagae;Holophagales
Terriglobales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Acidobacteriota,Terriglobia,Bacteria;Bacteria_none;Acidobacteriota;Terriglobia;Terriglobales
Actinomycetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Actinomycetales
Bifidobacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales
Kitasatosporales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Kitasatosporales
Micrococcales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Micrococcales
Micromonosporales,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Micromonosporales
