genus,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,total,superkingdom,kingdom,phylum,class,order,family,tax
Methanomethylophilus,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,12,0,0,0,43,Archaea,Archaea_none,Candidatus Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Archaea;Archaea_none;Candidatus Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae;Methanomethylophilus
Methanocorpusculum,0,0,81,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,814,0,1230,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae;Methanocorpusculum
Methanoculleus,0,0,19,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3708,57,3989,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus
Methanofollis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis
Methanogenium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,10,493,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanogenium
Methanomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanomicrobium
Methanoregula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula
Methanospirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,91,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanospirillaceae;Methanospirillum
Methanimicrococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,199,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanimicrococcus
Methanolapillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanolapillus
Methanosarcina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,59,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina
Geothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,Bacteria,Bacteria_none,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Bacteria;Bacteria_none;Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Geothrix
Mesoterricola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,Bacteria,Bacteria_none,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Bacteria;Bacteria_none;Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Mesoterricola
Granulicella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,Bacteria,Bacteria_none,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Bacteria;Bacteria_none;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Granulicella
Flaviflexus,0,32,0,0,0,24,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Flaviflexus
Schaalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,52,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia
Bifidobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,61,0,127,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium
Streptomyces,0,0,0,0,0,0,72,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,855,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces
