species,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,total,superkingdom,kingdom,phylum,class,order,family,genus,tax
Methanomethylophilus alvi,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,12,0,0,0,43,Archaea,Archaea_none,Candidatus Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Methanomethylophilus,Archaea;Archaea_none;Candidatus Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae;Methanomethylophilus;Methanomethylophilus alvi
Methanocorpusculum labreanum,0,0,53,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,514,0,771,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae;Methanocorpusculum;Methanocorpusculum labreanum
Methanocorpusculum_uncultured,0,0,28,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,300,0,459,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae;Methanocorpusculum;Methanocorpusculum_uncultured
Methanoculleus bourgensis,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1541,27,1585,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus bourgensis
Methanoculleus chikugoensis,0,0,19,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,2010,30,2247,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus chikugoensis
Methanoculleus receptaculi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,157,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus receptaculi
Methanofollis liminatans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanofollis,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis;Methanofollis liminatans
Methanogenium organophilum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,61,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanogenium;Methanogenium organophilum
Methanogenium sp. S4BF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,10,432,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanogenium;Methanogenium sp. S4BF
Methanomicrobium antiquum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanomicrobium,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanomicrobium;Methanomicrobium antiquum
Methanoregula formicica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula;Methanoregula formicica
