index,Reads,Unclassified|Unmapped,Unclassified|Unmapped (%)
barcode01,16025.0,2510.0,15.66
barcode02,117351.0,52095.0,44.39
barcode03,82324.0,8669.0,10.53
barcode04,46062.0,39554.0,85.87
barcode05,66188.0,3173.0,4.79
barcode06,2750.0,876.0,31.85
barcode07,426390.0,43202.0,10.13
barcode08,386352.0,107496.0,27.82
barcode09,65829.0,23832.0,36.2
barcode10,26742.0,20125.0,75.26
barcode11,148759.0,61960.0,41.65
barcode12,58.0,50.0,86.21
barcode13,43976.0,8270.0,18.81
barcode14,595.0,415.0,69.75
barcode15,9568.0,3773.0,39.43
barcode16,4170.0,3625.0,86.93
barcode17,700.0,594.0,84.86
barcode18,164506.0,26983.0,16.4
barcode19,45878.0,35091.0,76.49
barcode20,3413.0,623.0,18.25
barcode21,39266.0,24435.0,62.23
barcode22,3087.0,695.0,22.51
barcode23,469496.0,412561.0,87.87
barcode24,121134.0,21450.0,17.71
