family,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,total,superkingdom,kingdom,phylum,class,order,tax
Methanomethylophilaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,Archaea_none,Candidatus Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Archaea;Archaea_none;Candidatus Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae
Methanocorpusculaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae
Methanomicrobiaceae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae
Methanoregulaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae
Methanospirillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanospirillaceae
Methanosarcinaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,Archaea_none,Euryarchaeota,Methanomicrobia,Methanosarcinales,Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae
Holophagaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Acidobacteriota,Holophagae,Holophagales,Bacteria;Bacteria_none;Acidobacteriota;Holophagae;Holophagales;Holophagaceae
Acidobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Acidobacteriota,Terriglobia,Terriglobales,Bacteria;Bacteria_none;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae
Actinomycetaceae,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Actinomycetales,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae
Bifidobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Bifidobacteriales,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae
Streptomycetaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Kitasatosporales,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae
Brevibacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Micrococcales,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Micrococcales;Brevibacteriaceae
Microbacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Micrococcales,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae
Micrococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Micrococcales,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae
Micromonosporaceae,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Micromonosporales,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae
Corynebacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Mycobacteriales,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae
Mycobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Mycobacteriales,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae
Nocardiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Mycobacteriales,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae
Tsukamurellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Mycobacteriales,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Mycobacteriales;Tsukamurellaceae
Nocardioidaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Propionibacteriales,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae
Pseudonocardiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Pseudonocardiales,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae
Atopobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Coriobacteriia,Coriobacteriales,Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae
Coriobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Coriobacteriia,Coriobacteriales,Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae
Eggerthellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Coriobacteriia,Eggerthellales,Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae
Miltoncostaeaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Actinomycetota,Thermoleophilia,Miltoncostaeales,Bacteria;Bacteria_none;Actinomycetota;Thermoleophilia;Miltoncostaeales;Miltoncostaeaceae
Alicyclobacillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Alicyclobacillaceae
Bacillaceae,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Bacillaceae
Listeriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Listeriaceae
Paenibacillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Paenibacillaceae
Planococcaceae,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Planococcaceae
Staphylococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Staphylococcaceae
Aerococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Bacilli,Lactobacillales,Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Aerococcaceae
Carnobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Bacilli,Lactobacillales,Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae
Enterococcaceae,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Bacteria,Bacteria_none,Bacillota,Bacilli,Lactobacillales,Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Enterococcaceae
