Gene,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode13,barcode14,barcode15,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24
ARR-3,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aac(3)-IIa,0,0,0,0,0,0,0,30,0,2,0,0,0,0,0,0,0,0,0,0,0
aac(3)-IVa,0,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aac(3)-Id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
aac(6')-Ib-cr,0,1,0,0,0,0,6,0,0,0,0,0,0,0,15,0,0,0,0,0,0
aadA1,0,1,0,0,0,0,5,6,1,0,0,0,0,0,0,0,0,1,0,3,1
aadA13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,8,1
aadA14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
aadA2,0,0,1,0,6,0,9,0,0,0,4,1,0,0,2,0,0,0,2,2,15
aadA24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
aadA5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0
ant(2'')-Ia,0,8,0,0,0,0,0,0,2,0,0,0,0,0,2,4,0,0,0,0,0
ant(3'')-Ia,0,1,1,0,0,0,18,10,1,0,5,1,0,0,3,0,0,3,0,12,4
ant(6)-Ia,0,1,0,6,0,0,2,1,0,1,6,6,0,0,2,2,0,6,0,13,0
ant(9)-Ia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
aph(2'')-Ic,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0
aph(2'')-If,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
aph(2'')-Ig,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
aph(3'')-Ib,1,2,3,2,4,0,6,25,14,0,16,1,0,0,6,1,0,35,0,21,14
aph(3')-III,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0
aph(3')-Ia,0,0,2,0,2,0,5,4,0,0,0,1,0,0,10,0,0,0,0,0,0
aph(4)-Ia,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aph(6)-Id,0,2,2,0,3,1,9,23,17,0,11,2,0,0,6,1,0,29,0,24,9
blaACI-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
blaACT-16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
blaCARB-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
blaCARB-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
blaCMY-101,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
blaCMY-129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
blaCMY-78,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blaCTX-M-138,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
blaCTX-M-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
blaDHA-10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
blaDHA-12,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blaDHA-16,0,0,0,0,0,0,22,0,0,0,0,0,0,0,22,0,0,0,0,0,11
blaHERA-3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blaMOR-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
blaOXA-1,0,0,0,0,7,0,56,7,0,0,0,0,0,0,77,0,0,0,0,0,0
blaOXA-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
blaOXA-347,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
blaOXA-362,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
blaOXA-534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
blaOXY-2-1,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0
blaOXY-2-5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
blaOXY-6-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
blaPLA-5A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
blaROB-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
blaTEM-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
blaTEM-104,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
blaTEM-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
blaTEM-122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
blaTEM-126,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blaTEM-127,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,10
blaTEM-128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
blaTEM-135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
blaTEM-141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
blaTEM-143,0,0,0,0,0,0,18,0,0,0,9,0,0,0,9,0,0,0,0,0,0
blaTEM-150,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
blaTEM-156,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1
blaTEM-166,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
blaTEM-168,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
blaTEM-176,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
blaTEM-186,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
blaTEM-1A,0,0,0,0,0,0,5,15,0,0,0,5,0,0,0,0,0,0,0,0,0
blaTEM-1B,0,0,0,0,0,0,20,0,5,0,0,10,0,0,15,0,0,0,0,0,10
blaTEM-1C,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
blaTEM-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
blaTEM-215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
blaTEM-216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
blaTEM-217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
blaTEM-29,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0
blaTEM-60,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blaTEM-95,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blaTER-2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
cat,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cat(pC194),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
