Gene,mechanism,mechanism_category
aac(3)-IIa,Aminoglycoside Acetyltransferase (Drug Inactivation),Drug Inactivation
aac(3)-IVa,Aminoglycoside Acetyltransferase (Drug Inactivation),Drug Inactivation
aac(3)-Id,Aminoglycoside Acetyltransferase (Drug Inactivation),Drug Inactivation
aac(6')-Ib-cr,Aminoglycoside Acetyltransferase (Drug Inactivation),Drug Inactivation
aadA1,Aminoglycoside Adenylyltransferase (Drug Inactivation),Drug Inactivation
aadA13,Aminoglycoside Adenylyltransferase (Drug Inactivation),Drug Inactivation
aadA14,Aminoglycoside Adenylyltransferase (Drug Inactivation),Drug Inactivation
aadA2,Aminoglycoside Adenylyltransferase (Drug Inactivation),Drug Inactivation
aadA24,Aminoglycoside Adenylyltransferase (Drug Inactivation),Drug Inactivation
aadA5,Aminoglycoside Adenylyltransferase (Drug Inactivation),Drug Inactivation
ant(2'')-Ia,Aminoglycoside Nucleotidyltransferase (Drug Inactivation),Drug Inactivation
ant(3'')-Ia,Aminoglycoside Nucleotidyltransferase (Drug Inactivation),Drug Inactivation
ant(6)-Ia,Aminoglycoside Nucleotidyltransferase (Drug Inactivation),Drug Inactivation
ant(9)-Ia,Aminoglycoside Nucleotidyltransferase (Drug Inactivation),Drug Inactivation
aph(2'')-Ic,Aminoglycoside Phosphotransferase (Drug Inactivation),Drug Inactivation
aph(2'')-If,Aminoglycoside Phosphotransferase (Drug Inactivation),Drug Inactivation
aph(2'')-Ig,Aminoglycoside Phosphotransferase (Drug Inactivation),Drug Inactivation
aph(3'')-Ib,Aminoglycoside Phosphotransferase (Drug Inactivation),Drug Inactivation
aph(3')-III,Aminoglycoside Phosphotransferase (Drug Inactivation),Drug Inactivation
aph(3')-Ia,Aminoglycoside Phosphotransferase (Drug Inactivation),Drug Inactivation
aph(4)-Ia,Aminoglycoside Phosphotransferase (Drug Inactivation),Drug Inactivation
aph(6)-Id,Aminoglycoside Phosphotransferase (Drug Inactivation),Drug Inactivation
blaACI-1,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaACT-16,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaCARB-2,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaCARB-4,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaCMY-101,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaCMY-129,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaCMY-78,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaCTX-M-138,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaCTX-M-32,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaDHA-10,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaDHA-12,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaDHA-16,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaHERA-3,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaMOR-2,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaOXA-1,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaOXA-20,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaOXA-347,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaOXA-362,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaOXA-534,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaOXY-2-1,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaOXY-2-5,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaOXY-6-2,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaPLA-5A,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaROB-1,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaTEM-10,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaTEM-104,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaTEM-106,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaTEM-122,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaTEM-126,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaTEM-127,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaTEM-128,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaTEM-135,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaTEM-141,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaTEM-143,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaTEM-150,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaTEM-156,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaTEM-166,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaTEM-168,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaTEM-176,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaTEM-186,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaTEM-1A,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaTEM-1B,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaTEM-1C,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaTEM-2,Beta-lactamase (Drug Inactivation),Drug Inactivation
blaTEM-215,Beta-lactamase (Drug Inactivation),Drug Inactivation
