barcode,farm_type,farm_id,sample_type,oblast,taxon_level,taxon_name,abundance,full_taxonomy
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,class,Bacteroidia,186,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,class,Betaproteobacteria,1027,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,class,Clostridia,65,Bacteria;Bacteria_none;Bacillota;Clostridia
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,class,Gammaproteobacteria,11187,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,class,Unknown,2510,Unclassified;Unknown;Unknown;Unknown
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,family,Aeromonadaceae,197,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,family,Anaerotignaceae,15,Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Anaerotignaceae
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,family,Bacteroidaceae,75,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,family,Comamonadaceae,1027,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,family,Enterobacteriaceae,8272,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,family,Lysobacteraceae,39,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,family,Morganellaceae,2403,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,family,Oscillospiraceae,50,Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,family,Porphyromonadaceae,11,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae
barcode01,Poultry,poultry #1,Native,Zaporizhzhia Oblast,family,Pseudomonadaceae,276,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae
