Barcode,Sample ID,Farm Type,Farm ID,Sample Type,Oblast,rank,species,read_count,relative_abundance_pct,total_reads
BC01,1.1.,Poultry,poultry #1,Native,Zaporizhzhia Oblast,1,Escherichia coli,2829,18.89,14975
BC01,1.1.,Poultry,poultry #1,Native,Zaporizhzhia Oblast,2,Unknown,2510,16.76,14975
BC01,1.1.,Poultry,poultry #1,Native,Zaporizhzhia Oblast,3,Morganella morganii,2208,14.74,14975
BC01,1.1.,Poultry,poultry #1,Native,Zaporizhzhia Oblast,4,Klebsiella grimontii,1277,8.53,14975
BC01,1.1.,Poultry,poultry #1,Native,Zaporizhzhia Oblast,5,Klebsiella aerogenes,1136,7.59,14975
BC01,1.1.,Poultry,poultry #1,Native,Zaporizhzhia Oblast,6,Klebsiella pneumoniae,684,4.57,14975
BC01,1.1.,Poultry,poultry #1,Native,Zaporizhzhia Oblast,7,Comamonas thiooxydans,447,2.98,14975
BC01,1.1.,Poultry,poultry #1,Native,Zaporizhzhia Oblast,8,Klebsiella michiganensis,423,2.82,14975
BC01,1.1.,Poultry,poultry #1,Native,Zaporizhzhia Oblast,9,Citrobacter freundii,379,2.53,14975
BC01,1.1.,Poultry,poultry #1,Native,Zaporizhzhia Oblast,10,Citrobacter portucalensis,349,2.33,14975
BC02,1.1. н,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,1,Unknown,52095,47.13,110524
BC02,1.1. н,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,2,Bacteroides graminisolvens,7330,6.63,110524
BC02,1.1. н,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,3,Azospira sp. I09,3975,3.6,110524
BC02,1.1. н,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,4,Azospira oryzae,3226,2.92,110524
BC02,1.1. н,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,5,Providencia sp. PROV001,1592,1.44,110524
BC02,1.1. н,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,6,Comamonas thiooxydans,1533,1.39,110524
BC02,1.1. н,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,7,Proteus mirabilis,1439,1.3,110524
BC02,1.1. н,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,8,uncultured Macellibacteroides sp.,1217,1.1,110524
BC02,1.1. н,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,9,Comamonas aquatica,1144,1.04,110524
BC02,1.1. н,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,10,Escherichia coli,1092,0.99,110524
BC03,2.,Pig,pig #1,Native,Zhytomyr Oblast,1,Escherichia coli,56352,69.79,80746
BC03,2.,Pig,pig #1,Native,Zhytomyr Oblast,2,Unknown,8669,10.74,80746
BC03,2.,Pig,pig #1,Native,Zhytomyr Oblast,3,Shigella flexneri,2366,2.93,80746
BC03,2.,Pig,pig #1,Native,Zhytomyr Oblast,4,Escherichia albertii,1071,1.33,80746
BC03,2.,Pig,pig #1,Native,Zhytomyr Oblast,5,Morganella morganii,884,1.09,80746
BC03,2.,Pig,pig #1,Native,Zhytomyr Oblast,6,Escherichia fergusonii,744,0.92,80746
BC03,2.,Pig,pig #1,Native,Zhytomyr Oblast,7,Shigella dysenteriae,691,0.86,80746
BC03,2.,Pig,pig #1,Native,Zhytomyr Oblast,8,Salmonella enterica,566,0.7,80746
BC03,2.,Pig,pig #1,Native,Zhytomyr Oblast,9,Escherichia marmotae,555,0.69,80746
BC03,2.,Pig,pig #1,Native,Zhytomyr Oblast,10,Escherichia sp. E4742,522,0.65,80746
BC04,2. н,Pig,pig #1,Enriched,Zhytomyr Oblast,1,Unknown,39554,91.06,43439
BC04,2. н,Pig,pig #1,Enriched,Zhytomyr Oblast,2,Escherichia coli,409,0.94,43439
BC04,2. н,Pig,pig #1,Enriched,Zhytomyr Oblast,3,Trichococcus flocculiformis,246,0.57,43439
BC04,2. н,Pig,pig #1,Enriched,Zhytomyr Oblast,4,Advenella alkanexedens,223,0.51,43439
BC04,2. н,Pig,pig #1,Enriched,Zhytomyr Oblast,5,Bacteroides graminisolvens,218,0.5,43439
BC04,2. н,Pig,pig #1,Enriched,Zhytomyr Oblast,6,Methanocorpusculum labreanum,179,0.41,43439
BC04,2. н,Pig,pig #1,Enriched,Zhytomyr Oblast,7,Dehalococcoides mccartyi,169,0.39,43439
BC04,2. н,Pig,pig #1,Enriched,Zhytomyr Oblast,8,Pseudomonas sp. C27(2019),167,0.38,43439
BC04,2. н,Pig,pig #1,Enriched,Zhytomyr Oblast,9,Methanoculleus chikugoensis,167,0.38,43439
BC04,2. н,Pig,pig #1,Enriched,Zhytomyr Oblast,10,Sphaerochaeta associata,158,0.36,43439
BC05,3.,Poultry,poultry #2,Native,Kyiv Oblast,1,Escherichia coli,33578,51.84,64778
BC05,3.,Poultry,poultry #2,Native,Kyiv Oblast,2,Citrobacter sp. RHBSTW-00986,3418,5.28,64778
BC05,3.,Poultry,poultry #2,Native,Kyiv Oblast,3,Unknown,3173,4.9,64778
BC05,3.,Poultry,poultry #2,Native,Kyiv Oblast,4,Morganella morganii,3153,4.87,64778
BC05,3.,Poultry,poultry #2,Native,Kyiv Oblast,5,Proteus mirabilis,2133,3.29,64778
BC05,3.,Poultry,poultry #2,Native,Kyiv Oblast,6,Citrobacter portucalensis,2123,3.28,64778
BC05,3.,Poultry,poultry #2,Native,Kyiv Oblast,7,Citrobacter braakii,1522,2.35,64778
BC05,3.,Poultry,poultry #2,Native,Kyiv Oblast,8,Proteus vulgaris,1365,2.11,64778
BC05,3.,Poultry,poultry #2,Native,Kyiv Oblast,9,Bacteroides ovatus,1095,1.69,64778
