barcode,rank,species,read_count,relative_abundance_pct
barcode01,1,Escherichia coli,2829,18.89
barcode01,2,Unknown,2510,16.76
barcode01,3,Morganella morganii,2208,14.74
barcode01,4,Klebsiella grimontii,1277,8.53
barcode01,5,Klebsiella aerogenes,1136,7.59
barcode01,6,Klebsiella pneumoniae,684,4.57
barcode01,7,Comamonas thiooxydans,447,2.98
barcode01,8,Klebsiella michiganensis,423,2.82
barcode01,9,Citrobacter freundii,379,2.53
barcode01,10,Citrobacter portucalensis,349,2.33
barcode02,1,Unknown,52095,47.13
barcode02,2,Bacteroides graminisolvens,7330,6.63
barcode02,3,Azospira sp. I09,3975,3.6
barcode02,4,Azospira oryzae,3226,2.92
barcode02,5,Providencia sp. PROV001,1592,1.44
barcode02,6,Comamonas thiooxydans,1533,1.39
barcode02,7,Proteus mirabilis,1439,1.3
barcode02,8,uncultured Macellibacteroides sp.,1217,1.1
barcode02,9,Comamonas aquatica,1144,1.04
barcode02,10,Escherichia coli,1092,0.99
barcode03,1,Escherichia coli,56352,69.79
barcode03,2,Unknown,8669,10.74
barcode03,3,Shigella flexneri,2366,2.93
barcode03,4,Escherichia albertii,1071,1.33
barcode03,5,Morganella morganii,884,1.09
barcode03,6,Escherichia fergusonii,744,0.92
barcode03,7,Shigella dysenteriae,691,0.86
barcode03,8,Salmonella enterica,566,0.7
barcode03,9,Escherichia marmotae,555,0.69
barcode03,10,Escherichia sp. E4742,522,0.65
barcode04,1,Unknown,39554,91.06
barcode04,2,Escherichia coli,409,0.94
barcode04,3,Trichococcus flocculiformis,246,0.57
barcode04,4,Advenella alkanexedens,223,0.51
barcode04,5,Bacteroides graminisolvens,218,0.5
barcode04,6,Methanocorpusculum labreanum,179,0.41
barcode04,7,Dehalococcoides mccartyi,169,0.39
barcode04,8,Pseudomonas sp. C27(2019),167,0.38
barcode04,9,Methanoculleus chikugoensis,167,0.38
barcode04,10,Sphaerochaeta associata,158,0.36
barcode05,1,Escherichia coli,33578,51.84
barcode05,2,Citrobacter sp. RHBSTW-00986,3418,5.28
barcode05,3,Unknown,3173,4.9
barcode05,4,Morganella morganii,3153,4.87
barcode05,5,Proteus mirabilis,2133,3.29
barcode05,6,Citrobacter portucalensis,2123,3.28
barcode05,7,Citrobacter braakii,1522,2.35
barcode05,8,Proteus vulgaris,1365,2.11
barcode05,9,Bacteroides ovatus,1095,1.69
barcode05,10,Providencia sp. PROV001,970,1.5
barcode06,1,Unknown,876,36.09
barcode06,2,Escherichia coli,433,17.84
barcode06,3,Citrobacter sp. RHBSTW-00986,267,11.0
barcode06,4,Morganella morganii,220,9.06
barcode06,5,Citrobacter braakii,112,4.61
barcode06,6,Comamonas aquatica,101,4.16
barcode06,7,Klebsiella oxytoca,92,3.79
barcode06,8,Pseudomonas fragi,74,3.05
barcode06,9,Pseudomonas bubulae,45,1.85
barcode06,10,Bacteroides graminisolvens,45,1.85
barcode07,1,Escherichia coli,208631,49.46
barcode07,2,Unknown,43202,10.24
barcode07,3,Proteus mirabilis,38340,9.09
barcode07,4,Morganella morganii,12003,2.85
barcode07,5,Bacteroides ovatus,11474,2.72
barcode07,6,Klebsiella pneumoniae,8802,2.09
barcode07,7,Shigella flexneri,5696,1.35
barcode07,8,Phocaeicola dorei,5402,1.28
barcode07,9,Providencia sp. PROV001,5354,1.27
barcode07,10,Klebsiella oxytoca,5260,1.25
barcode08,1,Unknown,107496,28.38
barcode08,2,Escherichia coli,48527,12.81
barcode08,3,Klebsiella oxytoca,45879,12.11
barcode08,4,Acinetobacter pseudolwoffii,24465,6.46
barcode08,5,Raoultella terrigena,12313,3.25
barcode08,6,Shewanella putrefaciens,10062,2.66
barcode08,7,Klebsiella pneumoniae,8005,2.11
barcode08,8,Acinetobacter sp. F9,7185,1.9
barcode08,9,Acinetobacter baumannii,7008,1.85
barcode08,10,Leclercia adecarboxylata,5958,1.57
barcode09,1,Unknown,23832,38.16
barcode09,2,Escherichia coli,8567,13.72
barcode09,3,Comamonas kerstersii,5730,9.17
barcode09,4,Comamonas aquatica,2573,4.12
barcode09,5,Denitrificimonas caeni,1571,2.52
barcode09,6,Klebsiella pneumoniae,1193,1.91
barcode09,7,Pseudomonas sp. C27(2019),1132,1.81
barcode09,8,Acinetobacter towneri,972,1.56
barcode09,9,Salmonella sp. A29-2,964,1.54
barcode09,10,Pseudomonas aeruginosa,866,1.39
barcode10,1,Unknown,20125,81.61
barcode10,2,Prevotella herbatica,701,2.84
barcode10,3,Denitrificimonas caeni,600,2.43
barcode10,4,Segatella copri,438,1.78
barcode10,5,Escherichia coli,425,1.72
barcode10,6,Psychrobacter sp. van23A,382,1.55
barcode10,7,Pseudomonas sp. C27(2019),280,1.14
barcode10,8,Faecalibacterium prausnitzii,250,1.01
barcode10,9,Psychrobacter sp. WB2,158,0.64
barcode10,10,uncultured Macellibacteroides sp.,129,0.52
barcode11,1,Unknown,61960,43.37
barcode11,2,Escherichia coli,38390,26.87
